ID;Year_Birth;Age;AgeGroup;Education;Marital_Status;Income;IncomeGroup;Kidhome;Teenhome;Dt_Customer;Recency;DtGroup;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;DealPurchasesGroup;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;RecencyProp;AcceptedCmp2;ComplainNoYes;Complain;Z_CostContact;Z_Revenue;Response;WebVisitGroup;AcceptedCmp1Group;AcceptedCmp2Group;AcceptedCmp3Group;AcceptedCmp4Group;AcceptedCmp5Group
8180;1952;62;55-64 y.o.;Master;Divorced;59354.0;Middle Class;1;1;15/11/2013;53;Unknown;233;2;53;3;5;14;Yes;3;6;1;5;6;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
2569;1987;27;25-34 y.o.;Graduation;Married;17323.0;Lower Class;0;0;10/10/2012;38;Unknown;3;14;17;6;1;5;Yes;1;1;0;3;8;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
2114;1946;68;65+ y.o.;PhD;Single;82800.0;Upper Class;0;0;24/11/2012;23;Unknown;1006;22;115;59;68;45;Yes;1;7;6;12;3;0;0;1;1;1 month;0;No;0;3;11;1;Low Freq Visit;Yes;No;No;No;Yes
9736;1980;34;25-34 y.o.;Graduation;Married;41850.0;Middle Class;1;1;24/12/2012;51;Unknown;53;5;19;2;13;4;Yes;3;3;0;3;8;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
4939;1946;68;65+ y.o.;Graduation;Together;37760.0;Middle Class;0;0;31/08/2012;20;Unknown;84;5;38;150;12;28;Yes;2;4;1;6;7;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
6565;1949;65;65+ y.o.;Master;Married;76995.0;Upper Class;0;1;28/03/2013;91;Unknown;1012;80;498;0;16;176;Yes;2;11;4;9;5;0;0;0;1;3 months+;0;No;0;3;11;0;High Freq Visit;Yes;No;No;No;No
2278;1985;29;25-34 y.o.;2n Cycle;Single;33812.0;Middle Class;1;0;03/11/2012;86;Unknown;4;17;19;30;24;39;Yes;2;2;1;3;6;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
9360;1982;32;25-34 y.o.;Graduation;Married;37040.0;Middle Class;0;0;08/08/2012;41;Unknown;86;2;73;69;38;48;Yes;1;4;2;5;8;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
1993;1949;65;65+ y.o.;PhD;Married;58607.0;Middle Class;0;1;23/12/2012;63;Unknown;867;0;86;0;0;19;Yes;3;2;3;9;8;0;1;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;Yes;No
4047;1954;60;55-64 y.o.;PhD;Married;65324.0;Middle Class;0;1;11/01/2014;0;Unknown;384;0;102;21;32;5;Yes;3;6;2;9;4;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
1409;1951;63;55-64 y.o.;Graduation;Together;40689.0;Middle Class;0;1;18/03/2013;69;Unknown;270;3;27;39;6;99;Yes;7;7;1;5;8;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
7892;1969;45;45-54 y.o.;Graduation;Single;18589.0;Lower Class;0;0;02/01/2013;89;Unknown;6;4;25;15;12;13;Yes;2;2;1;3;7;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
2404;1976;38;35-44 y.o.;Graduation;Married;53359.0;Middle Class;1;1;27/05/2013;4;Unknown;173;4;30;3;6;41;Yes;4;5;1;4;7;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
9422;1989;25;25-34 y.o.;Graduation;Married;38360.0;Middle Class;1;0;31/05/2013;26;Unknown;36;2;42;20;21;10;Yes;2;2;1;4;3;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
1966;1965;49;45-54 y.o.;PhD;Married;84618.0;Upper Class;0;0;22/11/2013;96;Unknown;684;100;801;21;66;0;Yes;1;6;9;10;2;0;0;1;0;3 months+;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;Yes
6864;1989;25;25-34 y.o.;Master;Divorced;10979.0;Lower Class;0;0;22/05/2014;34;Unknown;8;4;10;2;2;4;Yes;2;3;0;3;5;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
3033;1963;51;45-54 y.o.;Master;Together;38620.0;Middle Class;0;0;11/05/2013;56;Unknown;112;17;44;34;22;89;Yes;1;2;5;3;3;0;0;0;0;2 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
5710;1970;44;35-44 y.o.;Graduation;Together;40548.0;Middle Class;0;1;10/10/2012;31;Unknown;110;0;5;2;0;3;Yes;2;2;1;4;5;0;1;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;Yes;No
7373;1952;62;55-64 y.o.;PhD;Divorced;46610.0;Middle Class;0;2;29/10/2012;8;Unknown;96;12;96;33;22;43;Yes;6;4;1;6;6;0;0;0;0;1 month;0;No;0;3;11;1;High Freq Visit;No;No;No;No;No
8755;1946;68;65+ y.o.;Master;Married;68657.0;Middle Class;0;0;20/02/2013;4;Unknown;482;34;471;119;68;22;Yes;1;3;5;9;7;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
10738;1951;63;55-64 y.o.;Master;Single;49389.0;Middle Class;1;1;29/08/2013;55;Unknown;40;0;19;2;1;3;Yes;1;2;0;3;7;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
4339;1970;44;35-44 y.o.;PhD;Married;67353.0;Middle Class;0;1;31/12/2013;37;Unknown;702;17;151;0;8;35;Yes;5;5;6;12;2;0;0;0;0;2 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
10755;1976;38;35-44 y.o.;2n Cycle;Married;23718.0;Lower Class;1;0;02/09/2013;76;Unknown;6;3;14;15;7;36;Yes;3;3;1;2;7;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
8595;1973;41;35-44 y.o.;Graduation;Widow;42429.0;Middle Class;0;1;11/02/2014;99;Unknown;55;0;6;2;0;4;Yes;2;1;1;3;5;0;0;0;0;3 months+;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
2968;1943;71;65+ y.o.;PhD;Divorced;48948.0;Middle Class;0;0;01/02/2013;53;Unknown;437;8;206;160;49;42;Yes;2;7;10;5;6;1;0;0;0;2 months;0;No;0;3;11;1;High Freq Visit;No;No;Yes;No;No
8601;1980;34;25-34 y.o.;Graduation;Married;80011.0;Upper Class;0;1;29/04/2013;3;Unknown;421;76;536;82;178;102;Yes;2;8;6;5;4;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
503;1985;29;25-34 y.o.;Master;Married;20559.0;Lower Class;1;0;12/03/2013;88;Unknown;13;1;29;3;0;7;Yes;2;2;0;3;8;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
8430;1957;57;55-64 y.o.;Graduation;Together;21994.0;Lower Class;0;1;24/12/2012;4;Unknown;9;0;6;3;1;3;Yes;1;0;0;3;5;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
1371;1976;38;35-44 y.o.;Graduation;Single;79941.0;Upper Class;0;0;28/06/2014;72;Unknown;123;164;266;227;30;174;Yes;1;2;4;9;1;0;0;0;0;3 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
7286;1968;46;45-54 y.o.;Graduation;Together;41728.0;Middle Class;1;0;24/05/2013;92;Unknown;13;6;15;3;5;13;Yes;1;2;0;2;10;0;0;0;0;3 months+;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
6566;1954;60;55-64 y.o.;PhD;Married;72550.0;Upper Class;1;1;08/11/2012;39;Unknown;826;50;317;50;38;38;Yes;9;5;2;12;8;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
8614;1957;57;55-64 y.o.;Graduation;Widow;65486.0;Middle Class;0;1;12/05/2014;29;Unknown;245;19;125;37;67;14;Yes;1;4;2;10;2;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
4114;1964;50;45-54 y.o.;Master;Married;79143.0;Upper Class;0;0;11/08/2012;2;Unknown;650;37;780;27;167;32;Yes;1;6;9;13;3;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
1331;1977;37;35-44 y.o.;Graduation;Single;35790.0;Middle Class;1;0;02/01/2013;54;Unknown;12;6;20;30;1;3;Yes;2;2;0;3;7;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
2225;1977;37;35-44 y.o.;Graduation;Divorced;82582.0;Upper Class;0;0;07/06/2014;54;Unknown;510;120;550;156;40;241;Yes;1;4;9;7;1;1;0;0;1;2 months;0;No;0;3;11;1;Low Freq Visit;Yes;No;Yes;No;No
9381;1978;36;35-44 y.o.;Graduation;Married;66373.0;Middle Class;1;1;12/06/2013;57;Unknown;328;9;124;12;24;109;Yes;7;4;2;10;3;0;0;0;0;2 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
6260;1955;59;55-64 y.o.;Master;Together;82384.0;Upper Class;0;0;19/11/2012;55;Unknown;984;51;432;180;120;190;Yes;1;3;10;13;1;0;0;1;0;2 months;0;No;0;3;11;1;Low Freq Visit;No;No;No;No;Yes
10383;1966;48;45-54 y.o.;Graduation;Divorced;70287.0;Middle Class;0;0;02/04/2013;30;Unknown;295;35;482;121;120;40;Yes;1;5;5;10;3;0;0;0;0;1 month;0;No;0;3;11;1;Low Freq Visit;No;No;No;No;No
7437;1988;26;25-34 y.o.;Graduation;Single;27938.0;Middle Class;1;0;28/04/2014;31;Unknown;13;0;8;2;1;5;Yes;1;1;0;4;3;0;0;0;0;2 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
8375;1968;46;45-54 y.o.;PhD;Married;55954.0;Middle Class;0;1;03/03/2014;63;Unknown;447;0;28;0;0;43;Yes;3;8;2;6;7;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
6853;1982;32;25-34 y.o.;Master;Single;75777.0;Upper Class;0;0;04/07/2013;12;Unknown;712;26;538;69;13;80;Yes;1;3;6;11;1;0;1;1;0;1 month;0;No;0;3;11;1;Low Freq Visit;No;No;No;Yes;Yes
3076;1975;39;35-44 y.o.;Graduation;Together;66653.0;Middle Class;1;1;07/09/2012;18;Unknown;452;18;102;16;18;6;Yes;4;4;2;12;3;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
1012;1952;62;55-64 y.o.;Graduation;Single;61823.0;Middle Class;0;1;18/02/2013;26;Unknown;523;7;134;37;14;169;Yes;4;8;2;10;7;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
6518;1951;63;55-64 y.o.;PhD;Widow;67680.0;Middle Class;0;1;11/06/2013;8;Unknown;546;0;48;0;6;6;Yes;1;7;3;8;5;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
4137;1948;66;65+ y.o.;Graduation;Together;70666.0;Middle Class;0;0;06/12/2013;29;Unknown;398;40;367;119;122;30;Yes;1;7;4;4;4;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
8082;1971;43;35-44 y.o.;Graduation;Married;25721.0;Middle Class;1;0;21/05/2013;75;Unknown;1;3;6;3;6;15;Yes;1;1;1;2;7;0;0;0;0;3 months;0;No;0;3;11;1;High Freq Visit;No;No;No;No;No
1386;1967;47;45-54 y.o.;Graduation;Together;32474.0;Middle Class;1;1;11/05/2014;0;Unknown;10;0;1;0;0;0;Yes;1;1;0;2;7;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
9369;1979;35;35-44 y.o.;2n Cycle;Single;88194.0;Upper Class;0;1;19/03/2014;19;Unknown;688;14;309;201;24;38;Yes;1;11;10;10;5;1;0;0;1;1 month;0;No;0;3;11;1;High Freq Visit;Yes;No;Yes;No;No
4477;1958;56;55-64 y.o.;Graduation;Together;69096.0;Middle Class;0;1;27/09/2013;4;Unknown;247;49;159;7;82;109;Yes;1;5;2;10;4;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
1357;1970;44;35-44 y.o.;Graduation;Together;74854.0;Upper Class;1;2;08/04/2013;90;Unknown;856;59;487;58;29;73;Yes;7;2;5;5;5;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
1402;1954;60;55-64 y.o.;Master;Married;66991.0;Middle Class;0;0;11/09/2012;1;Unknown;496;36;460;189;60;12;Yes;3;4;8;6;3;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
6312;1959;55;55-64 y.o.;Graduation;Married;65031.0;Middle Class;0;1;17/03/2013;29;Unknown;258;107;291;84;37;86;Yes;4;10;3;13;7;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
8132;1975;39;35-44 y.o.;PhD;Married;60631.0;Middle Class;1;1;05/04/2013;88;Unknown;565;6;65;0;6;19;Yes;5;9;2;8;7;0;1;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;Yes;No
1050;1952;62;55-64 y.o.;Graduation;Married;28332.0;Middle Class;0;0;30/04/2014;58;Unknown;14;10;13;4;15;9;Yes;1;2;1;4;2;0;0;0;0;2 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
5846;1977;37;35-44 y.o.;Graduation;Divorced;40246.0;Middle Class;1;0;19/12/2012;68;Unknown;2;1;6;2;1;1;Yes;1;1;0;2;6;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
1859;1972;42;35-44 y.o.;Master;Married;75251.0;Upper Class;0;0;27/08/2012;34;Unknown;721;111;925;97;18;18;Yes;1;7;6;5;5;0;0;0;0;2 months;0;No;0;3;11;1;High Freq Visit;No;No;No;No;No
7503;1976;38;35-44 y.o.;Graduation;Single;75825.0;Upper Class;0;0;12/10/2012;40;Unknown;1032;105;779;137;105;51;No;0;5;8;9;4;1;0;0;0;2 months;0;No;0;3;11;1;Low Freq Visit;No;No;Yes;No;No
10401;1976;38;35-44 y.o.;2n Cycle;Together;26326.0;Middle Class;0;0;04/09/2013;12;Unknown;1;0;5;0;3;9;Yes;1;0;0;3;3;0;0;0;0;1 month;0;Yes;1;3;11;0;Low Freq Visit;No;No;No;No;No
1618;1965;49;45-54 y.o.;Graduation;Together;56046.0;Middle Class;0;0;02/01/2013;9;Unknown;577;0;64;0;0;51;Yes;2;10;1;8;8;1;0;0;0;1 month;0;No;0;3;11;1;High Freq Visit;No;No;Yes;No;No
3332;1985;29;25-34 y.o.;Graduation;Single;29760.0;Middle Class;1;0;29/08/2012;87;Unknown;64;4;68;7;5;17;Yes;4;3;1;4;8;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
2261;1969;45;45-54 y.o.;Graduation;Married;26304.0;Middle Class;1;0;23/06/2013;5;Unknown;4;1;5;2;0;4;Yes;1;1;0;2;7;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
5346;1973;41;35-44 y.o.;2n Cycle;Married;23559.0;Lower Class;1;0;03/07/2013;87;Unknown;25;5;19;7;0;23;Yes;3;3;0;3;7;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
4119;1963;51;45-54 y.o.;Master;Together;38620.0;Middle Class;0;0;11/05/2013;56;Unknown;112;17;44;34;22;89;Yes;1;2;5;3;3;0;0;0;0;2 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
535;1987;27;25-34 y.o.;Graduation;Divorced;81361.0;Upper Class;0;0;25/02/2014;18;Unknown;163;23;424;27;65;76;Yes;1;3;10;13;1;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
5268;1960;54;45-54 y.o.;Graduation;Married;29440.0;Middle Class;1;1;11/08/2013;95;Unknown;17;8;14;10;4;3;Yes;2;1;0;4;7;0;0;0;0;3 months+;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
273;1970;44;35-44 y.o.;Master;Married;36138.0;Middle Class;1;1;16/07/2013;48;Unknown;130;0;16;0;0;5;Yes;5;3;1;4;7;0;1;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;Yes;No
4452;1957;57;55-64 y.o.;Graduation;Single;50388.0;Middle Class;0;1;28/05/2014;3;Unknown;292;6;37;0;3;34;Yes;4;6;1;6;7;0;1;0;1;1 month;0;No;0;3;11;1;High Freq Visit;Yes;No;No;Yes;No
8504;1973;41;35-44 y.o.;Graduation;Married;79593.0;Upper Class;0;0;12/05/2014;70;Unknown;350;60;568;110;133;145;Yes;1;5;6;7;2;0;0;1;0;3 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;Yes
771;1967;47;45-54 y.o.;Graduation;Together;54178.0;Middle Class;0;1;21/01/2014;79;Unknown;135;9;39;4;0;7;Yes;1;2;2;5;2;0;0;0;0;3 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
11178;1972;42;35-44 y.o.;Master;Single;42394.0;Middle Class;1;0;23/03/2014;69;Unknown;15;2;10;0;1;4;Yes;1;1;0;3;7;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
2230;1970;44;35-44 y.o.;PhD;Married;23626.0;Lower Class;1;0;24/05/2014;84;Unknown;27;2;14;0;0;0;Yes;3;3;1;3;5;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
7516;1983;31;25-34 y.o.;Graduation;Married;30096.0;Middle Class;1;0;22/05/2014;30;Unknown;5;3;11;12;5;9;Yes;1;2;0;3;6;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
7247;1960;54;45-54 y.o.;Graduation;Widow;47916.0;Middle Class;0;1;22/11/2012;72;Unknown;505;0;26;0;0;75;Yes;5;7;4;6;6;0;1;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;Yes;No
11100;1972;42;35-44 y.o.;Graduation;Divorced;51813.0;Middle Class;1;1;11/04/2013;37;Unknown;51;2;7;0;1;2;Yes;2;2;0;3;7;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
4646;1951;63;55-64 y.o.;2n Cycle;Married;78497.0;Upper Class;0;0;01/12/2013;44;Unknown;207;26;447;75;0;223;Yes;1;5;7;12;2;0;0;0;1;2 months;0;No;0;3;11;0;Low Freq Visit;Yes;No;No;No;No
3037;1983;31;25-34 y.o.;PhD;Married;50150.0;Middle Class;0;0;20/06/2013;32;Unknown;135;46;92;65;61;11;Yes;2;5;2;7;5;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
1473;1960;54;45-54 y.o.;2n Cycle;Single;47823.0;Middle Class;0;1;23/07/2013;0;Unknown;53;1;5;2;1;10;Yes;2;2;0;3;8;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
1016;1959;55;55-64 y.o.;PhD;Single;34554.0;Middle Class;0;1;30/03/2014;43;Unknown;41;1;6;2;0;5;Yes;2;2;0;3;6;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
4518;1979;35;35-44 y.o.;Graduation;Together;85693.0;Upper Class;0;1;20/04/2013;59;Unknown;386;172;183;185;132;111;Yes;2;9;5;11;5;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
9370;1945;69;65+ y.o.;PhD;Married;65846.0;Middle Class;0;0;17/05/2013;68;Unknown;562;81;276;80;40;81;Yes;1;6;3;6;4;0;0;0;0;3 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
8908;1959;55;55-64 y.o.;Graduation;Married;87195.0;Upper Class;0;0;08/05/2014;35;Unknown;217;76;690;50;26;38;Yes;1;3;11;5;1;0;0;0;0;2 months;0;No;0;3;11;1;Low Freq Visit;No;No;No;No;No
8373;1979;35;35-44 y.o.;Basic;Together;24594.0;Middle Class;1;0;10/12/2013;94;Unknown;1;3;6;10;0;9;Yes;1;1;0;3;5;0;0;0;0;3 months+;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
7533;1964;50;45-54 y.o.;Graduation;Married;49096.0;Middle Class;1;1;24/09/2013;15;Unknown;144;1;32;2;1;7;Yes;4;4;1;4;7;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
2683;1969;45;45-54 y.o.;Graduation;Married;52413.0;Middle Class;0;2;02/02/2013;56;Unknown;295;106;271;75;98;65;Yes;4;6;4;12;6;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
3629;1978;36;35-44 y.o.;Graduation;Single;38557.0;Middle Class;1;0;19/12/2012;17;Unknown;76;3;31;4;4;27;Yes;2;3;1;3;7;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
10991;1960;54;45-54 y.o.;Master;Married;89058.0;Upper Class;0;0;07/12/2012;18;Unknown;454;194;106;31;22;43;Yes;1;5;4;4;2;0;0;0;0;1 month;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
5077;1979;35;35-44 y.o.;Graduation;Together;77298.0;Upper Class;0;1;02/11/2013;46;Unknown;425;115;292;23;35;79;Yes;1;6;6;11;3;0;0;0;0;2 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
7431;1991;23;18-24 y.o.;PhD;Single;68126.0;Middle Class;0;0;10/11/2012;40;Unknown;1332;17;311;23;51;86;Yes;1;7;4;5;9;0;1;0;0;2 months;0;No;0;3;11;1;High Freq Visit;No;No;No;Yes;No
3267;1963;51;45-54 y.o.;Master;Together;57288.0;Middle Class;0;1;25/06/2014;27;Unknown;527;0;21;0;0;60;Yes;3;8;1;8;6;0;1;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;Yes;No
999;1991;23;18-24 y.o.;Graduation;Single;86037.0;Upper Class;0;0;02/01/2013;95;Unknown;490;44;125;29;20;22;Yes;1;6;7;11;3;0;1;1;0;3 months+;0;No;0;3;11;1;Low Freq Visit;No;No;No;Yes;Yes
9215;1980;34;25-34 y.o.;PhD;Married;43974.0;Middle Class;1;0;12/12/2012;19;Unknown;378;0;101;0;0;72;Yes;5;6;4;6;7;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
2286;1962;52;45-54 y.o.;Graduation;Single;50785.0;Middle Class;1;1;10/09/2013;27;Unknown;64;1;21;0;1;27;Yes;2;2;1;3;6;0;0;0;0;1 month;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
1592;1970;44;35-44 y.o.;Graduation;Married;90765.0;Upper Class;0;0;24/01/2014;25;Unknown;547;99;812;151;82;33;No;0;4;6;5;1;0;0;1;1;1 month;0;No;0;3;11;0;Low Freq Visit;Yes;No;No;No;Yes
367;1978;36;35-44 y.o.;2n Cycle;Married;36550.0;Middle Class;1;0;19/02/2013;74;Unknown;47;90;94;123;103;120;Yes;5;9;1;5;9;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
5234;1967;47;45-54 y.o.;2n Cycle;Together;30753.0;Middle Class;1;1;11/07/2013;85;Unknown;12;5;25;0;9;30;Yes;2;1;1;3;5;0;0;0;0;3 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
9862;1969;45;45-54 y.o.;Graduation;Together;21918.0;Lower Class;1;0;14/11/2013;37;Unknown;1;6;7;11;5;3;Yes;2;2;0;3;6;0;0;0;0;2 months;0;No;0;3;11;0;High Freq Visit;No;No;No;No;No
9805;1953;61;55-64 y.o.;Master;Together;56129.0;Middle Class;0;1;20/06/2013;65;Unknown;320;48;133;39;72;48;Yes;4;6;2;10;4;0;0;0;0;3 months;0;No;0;3;11;0;Low Freq Visit;No;No;No;No;No
6205;1967;47;45-54 y.o.;Master;Single;32557.0;Middle Class;1;0;24/02/2014;13;Unknown;34;3;29;0;4;10;Yes;3;2;1;3;5;0;0;0;0;1 month;0;No;0;3;11;1;High Freq Visit;No;No;No;No;No
